field_1,input_string,kreis,latitude,longitude,postcode,type,year
"0","Ackersteinstrasse 186, Zürich",Höngg,"47.40081869999999","8.5006896","8049",Kirchgemeindehaus,"1959.0"
"1","Ackerstrasse 63, Zürich",Industriequartier,"47.3839067","8.5335953","8005",Pfarrhaus ,
"2","Aehrenweg 1, Zürich",Oerlikon,"47.4089466","8.53478","8050",Pfarrhaus ,"1933.0"
"3","Aemtlerstrasse 23, Zürich",Wiedikon,"47.3717735","8.5152852","8003",Gewerbehaus/Geschäftshaus,"1924.0"
"4","Ahornstrasse 2, Zürich",Schwamendingen,"47.4052543","8.5671106","8051",Wohnen,"1933.0"
"5","Albisriederstrasse 391, Zürich",Albisrieden,"47.3744605","8.4837592","8047",Kirche,"1818.0"
"6","Altwiesenstrasse 181, Zürich",Hirzenbach,"47.4020467","8.585837","8051",Wohnen,
"7","Am Suteracher 2, Zürich",Altstetten,"47.38966990000001","8.4723604","8048",Kirche ,"1982.0"
"8","Am Suteracher 2, Zürich",Altstetten,"47.38966990000001","8.4723604","8048",Baurecht,
"9","Am Suteracher 65, Zürich",Altstetten,"47.391315","8.468606","8048",Baurecht,
"10","Am Wettingertobel 38, Zürich",Höngg,"47.4015507","8.4969138","8049",Pfarrhaus ,"1450.0"
"11","Am Wettingertobel 40, Zürich",Höngg,"47.4017997","8.497336899999999","8049",Kirche ,"1703.0"
"12","Aprikosenstrasse 25, Zürich",Schwamendingen,"47.4067559","8.5693859","8051",Pfarrhaus ,"1910.0"
"13","Asylstrasse 36, Zürich",Hottingen,"47.36839819999999","8.558570699999999","8032",Kirchgemeindehaus ,"1959.0"
"14","Auf der Egg 9, Zürich",Wollishofen,"47.3415997","8.5319857","8038",Kirche ,"1935.0"
"15","Auf der Mauer 6, Zürich",Predigern,"47.3771261","8.5450249","8001",Wohnen,"1888.0"
"16","Auhofstrasse 14, Zürich",Schwamendingen,"47.40644","8.569279","8051",Pfarrhaus ,"1968.0"
"17","Ausstellungsstrasse 89, Zürich",Industriequartier,"47.3839778","8.5336895","8005",Pfarrhaus,"1898.0"
"18","Bahnhaldenstrasse 29, Zürich",Seebach,"47.4191325","8.542933999999999","8052",Wohnen,
"19","Bändlistrasse 15, Zürich",Altstetten,"47.3949747","8.489564999999999","8064",Kirche,"1990.0"
"20","Bauherrenstrasse 53, Zürich",Höngg,"47.4017068","8.4975155","8049",Kirchgemeindehaus ,"1886.0"
"21","Baumackerstrasse 19, Zürich",Oerlikon,"47.4084251","8.545019","8050",Kirchgemeindehaus,"1952.0"
"22","Bederstrasse 25, Zürich",Enge,"47.3639338","8.529908599999999","8002",Kirchgemeindehaus ,"1893.0"
"23","Bederstrasse 31, Zürich",Enge,"47.3639581","8.5294133","8002",Baurecht,
"24","Bernerstrasse 152, Zürich",Altstetten,"47.3944656","8.4891708","8064",Baurecht,
"25","Blaufahnenstrasse 10, Zürich",Grossmünster,"47.3706535","8.5452795","8001",Gewerbehaus/Geschäftshaus,"1812.0"
"26","Blümlisalpstrasse 61, Zürich",Oberstrass,"47.3910513","8.548579799999999","8006",Pfarrhaus ,"1925.0"
"27","Borrweg 71, Zürich",Friesenberg,"47.3608561","8.5057247","8055",Kirchgemeindehaus,"1948.0"
"28","Borrweg 75, Zürich",Friesenberg,"47.3607157","8.5053538","8055",Pfarrhaus ,"1941.0"
"29","Borrweg 79, Zürich",Friesenberg,"47.3604493","8.5050599","8055",Wohnen,"1956.0"
"30","Brahmsstrasse 100, Zürich",Sihlfeld,"47.37892890000001","8.5022001","8003",Kirchgemeindehaus,"1952.0"
"31","Brahmsstrasse 106, Zürich",Sihlfeld,"47.3786176","8.5018098","8003",Kirche ,"1964.0"
"32","Brahmsstrasse 96, Zürich",Sihlfeld,"47.3787016","8.5024604","8003",Pfarrhaus ,"1964.0"
"33","Bühlstrasse 11, Zürich",Wiedikon,"47.3675143","8.5157685","8055",Kirchgemeindehaus,"1953.0"
"34","Buhnrain 1, Zürich",Seebach,"47.4228932","8.5426779","8052",Kirche,"1664.0"
"35","Bulingerplatz 1, Zürich",Hard,"47.37944710000001","8.516428399999999","8004",Pfarrhaus,"1947.0"
"36","Bullingerstrasse 4, Zürich",Hard,"47.3799214","8.515463","8004",Kirche ,"1956.0"
"37","Bürglistrasse 11, Zürich",Enge,"47.363132","8.5295343","8002",Wohnen,"1901.0"
"38","Bürglistrasse 15, Zürich",Enge,"47.36224439999999","8.5292596","8002",Kirche ,"1893.0"
"39","Bürglistrasse 19, Zürich",Enge,"47.3621156","8.5294736","8002",Pfarrhaus ,"1894.0"
"40","Bürglistrasse 7, Zürich",Enge,"47.363402","8.5294596","8002",Baurecht,
"41","Burstwiesenstrasse 36, Zürich",Im Gut,"47.3704036","8.5062382","8055",Kirche ,"1960.0"
"42","Carmenstrasse 10, Zürich",Hottingen,"47.3702248","8.5610383","8032",Pfarrhaus ,"1909.0"
"43","Cramerstrasse 7, Zürich",Aussersihl,"47.3732747","8.5258935","8004",Wohnen,"1884.0"
"44","Dolderstrasse 58, Zürich",Hottingen,"47.3707737","8.5614625","8032",Kirche ,"1900.0"
"45","Dolderstrasse 60, Zürich",Hottingen,"47.37078899999999","8.561625099999999","8032",Wohnen,"1909.0"
"46","Döltschihalde 4, Zürich",Wiedikon,"47.3636709","8.4989667","8055",Wohnen,"1998.0"
"47","Döltschiweg 177, Zürich",Friesenberg,"47.3652361","8.503108600000001","8055",Pfarrhaus ,"1945.0"
"48","Dreispitz 13, Zürich",Saatlen,"47.4101922","8.5642944","8050",Pfarrhaus ,
"49","Fellenbergweg 1, Zürich",Albisrieden,"47.3745194","8.4945643","8047",Pfarrhaus ,"1930.0"
"50","Fierzgasse 7, Zürich",Industriequartier,"47.3832887","8.5323642","8005",Wohnen,"1875.0"
"51","Fierzgasse 9, Zürich",Industriequartier,"47.3833524","8.532286","8005",Wohnen,"1876.0"
"52","Freiestrasse 142, Zürich",Hottingen,"47.3641482","8.5613098","8032",Wohnen,"1899.0"
"53","Voltastrasse 12, Zürich",Fluntern,"47.3775844","8.556004399999999","8044",Baurecht,
"54","Gellertstrasse 1, Zürich",Fluntern,"47.3769618","8.5567329","8044",Kirche ,"1919.0"
"55","Ginsterstrasse 48, Zürich",Albisrieden,"47.3760924","8.4913897","8047",Kirche ,"1949.0"
"56","Ginsterstrasse 50, Zürich",Albisrieden,"47.376272","8.4914125","8047",Pfarrhaus ,"1929.0"
"57","Glättlistrasse 40, Zürich",Altstetten,"47.3896238","8.475247999999999","8048",Baurecht,
"58","Gloriastrasse 98, Zürich",Fluntern,"47.3757055","8.5593696","8044",Kirche ,"1762.0"
"59","Goldbrunnenstrasse 54, Zürich",Wiedikon,"47.3679241","8.5167298","8055",Kirche,"1896.0"
"60","Goldschmiedstrasse 7, Zürich",Oberengstringen,"47.4083258","8.4622151","8102",Kirche,"1984.0"
"61","Goldschmiedstrasse 8, Zürich",Oberengstringen,"47.4082212","8.4618421","8102",Kirchgemeindehaus,"1951.0"
"62","Grütlistrasse, Zürich",Enge,"47.3612336","8.5311988","8002",Kirchgemeindehaus,"1923.0"
"63","Grütlistrasse 14, Zürich",Enge,"47.3631902","8.5302867","8002",Wohnen,"1948.0"
"64","Grütlistrasse 18, Zürich",Enge,"47.3631205","8.5300877","8002",Wohnen,"1891.0"
"65","Hammerstrasse 5, Zürich",Neumünster,"47.3597738","8.5578816","8008",Wohnen,"1827.0"
"66","Hardturmstrasse 122, Zürich",Industriequartier,"47.3931789","8.5146315","8005",Gewerbehaus/Geschäftshaus,
"67","Hätzlergasse 30, Zürich",Altstetten,"47.390555","8.467927","8048",Wohnen,"2002.0"
"68","Hauriweg 19, Zürich",Wollishofen,"47.3365665","8.5277408","8038",Kirchgemeindehaus,"1964.0"
"69","Herrligstrasse 29, Zürich",Altstetten,"47.3894268","8.485373599999999","8048",Pfarrhaus ,"1889.0"
