KG,KK,Objektbezeichung,Strasse,Stadt,Baujahr,
Höngg,10,Kirchgemeindehaus,Ackersteinstrasse 186,Zurich,1959,
Industriequartier,4+5,Pfarrhaus ,Ackerstrasse 63,Zurich,,
Oerlikon,12,Pfarrhaus ,Aehrenweg 1,Zurich,1933,
Wiedikon,3,Gewerbehaus/Geschäftshaus,Aemtlerstrasse 23,Zurich,1924,
Schwamendingen,12,Wohnen,Ahornstrasse 2,Zurich,1933,
Albisrieden,9,Kirche,Albisriederstrasse 391,Zurich,1818,
Hirzenbach,12,Wohnen,Altwiesenstrasse 181,Zurich,,
Altstetten,9,Kirche ,Am Suteracher 2,Zurich,1982,
Altstetten,9,Baurecht,Am Suteracher 2,Zurich,,
Altstetten,9,Baurecht,Am Suteracher 65,Zurich,,
Höngg,10,Pfarrhaus ,Am Wettingertobel 38,Zurich,1450,
Höngg,10,Kirche ,Am Wettingertobel 40,Zurich,1703,
Schwamendingen,12,Pfarrhaus ,Aprikosenstrasse 25,Zurich,1910,
Hottingen,7+8,Kirchgemeindehaus ,Asylstrasse 36,Zurich,1959,
Wollishofen,2,Kirche ,Auf der Egg 9,Zurich,1935,
Predigern,1,Wohnen,Auf der Mauer 6,Zurich,1888,
Schwamendingen,12,Pfarrhaus ,Auhofstrasse 14,Zurich,1968,
Industriequartier,4+5,Pfarrhaus,Ausstellungsstrasse 89,Zurich,1898,
Seebach,11,Wohnen,Bahnhaldenstrasse 29,Zurich,,
Altstetten,9,Kirche,Bändlistrasse 15,Zurich,1990,
Höngg,10,Kirchgemeindehaus ,Bauherrenstrasse 53,Zurich,1886,
Oerlikon,12,Kirchgemeindehaus,Baumackerstrasse 19,Zurich,1952,
Enge,2,Kirchgemeindehaus ,Bederstrasse 25,Zurich,1893,
Enge,2,Baurecht,Bederstrasse 31,Zurich,,
Altstetten,9,Baurecht,Bernerstrasse 152,Zurich,,
Grossmünster,1,Gewerbehaus/Geschäftshaus,Blaufahnenstrasse 10,Zurich,1812,
Oberstrass,6,Pfarrhaus ,Blümlisalpstrasse 61,Zurich,1925,
Friesenberg,3,Kirchgemeindehaus,Borrweg 71,Zurich,1948,
Friesenberg,3,Pfarrhaus ,Borrweg 75,Zurich,1941,
Friesenberg,3,Wohnen,Borrweg 79,Zurich,1956,
Sihlfeld,3,Kirchgemeindehaus,Brahmsstrasse 100,Zurich,1952,
Sihlfeld,3,Kirche ,Brahmsstrasse 106,Zurich,1964,
Sihlfeld,3,Pfarrhaus ,Brahmsstrasse 96,Zurich,1964,
Wiedikon,3,Kirchgemeindehaus,Bühlstrasse 11,Zurich,1953,
Seebach,11,Kirche,Buhnrain 1,Zurich,1664,
Hard,4+5,Pfarrhaus,Bulingerplatz 1,Zurich,1947,
Hard,4+5,Kirche ,Bullingerstrasse 4,Zurich,1956,
Enge,2,Wohnen,Bürglistrasse 11,Zurich,1901,
Enge,2,Kirche ,Bürglistrasse 15,Zurich,1893,
Enge,2,Pfarrhaus ,Bürglistrasse 19,Zurich,1894,
Enge,2,Baurecht,Bürglistrasse 7,Zurich,,
Im Gut,3,Kirche ,Burstwiesenstrasse 36,Zurich,1960,
Hottingen,7+8,Pfarrhaus ,Carmenstrasse 10,Zurich,1909,
Aussersihl,4+5,Wohnen,Cramerstrasse 7,Zurich,1884,
Hottingen,7+8,Kirche ,Dolderstrasse 58,Zurich,1900,
Hottingen,7+8,Wohnen,Dolderstrasse 60,Zurich,1909,
Wiedikon,3,Wohnen,Döltschihalde 4,Zurich,1998,
Friesenberg,3,Pfarrhaus ,Döltschiweg 177,Zurich,1945,
Saatlen,12,Pfarrhaus ,Dreispitz 13,Zurich,,
Albisrieden,9,Pfarrhaus ,Fellenbergweg 1,Zurich,1930,
Industriequartier,4+5,Wohnen,Fierzgasse 7,Zurich,1875,
Industriequartier,4+5,Wohnen,Fierzgasse 9,Zurich,1876,
Hottingen,7+8,Wohnen,Freiestrasse 142,Zurich,1899,
Fluntern,7+8,Baurecht,Voltastrasse 12,Zurich,,
Fluntern,7+8,Kirche ,Gellertstrasse 1,Zurich,1919,
